gpa,study_hours,attendance_rate,previous_math_grade,previous_cs_grade,credit_load,course_difficulty,passed
0.51,22,41,78,12,13,4,0
1.59,18,59,86,26,11,4,0
3.19,12,83,43,99,9,5,1
0.6,10,69,89,6,11,2,0
0.92,0,11,3,21,14,3,0
2.89,23,1,89,73,15,2,0
2.88,21,6,8,52,16,4,0
2.56,6,79,4,78,12,1,1
2.78,24,2,55,78,11,4,0
2.17,20,2,95,3,13,2,0
1.01,14,26,83,95,17,4,0
1.38,0,39,49,22,14,1,0
0.73,11,32,74,69,17,5,0
3.63,25,91,14,87,14,2,1
2.33,6,0,31,83,10,4,0
1.6,14,7,27,100,13,2,0
1.85,20,100,21,83,17,5,0
3.79,18,31,16,75,16,4,1
0.61,24,47,58,32,15,4,0
2.34,0,100,89,27,9,2,0
2.02,16,3,70,7,12,2,0
2.45,16,93,56,0,15,1,0
0.07,2,69,25,36,15,5,0
3.49,11,18,24,62,14,1,1
3.73,5,31,9,21,16,4,0
2.26,25,8,44,69,14,2,1
2.79,10,11,82,20,18,4,0
3.69,2,10,10,95,11,4,0
2.83,7,45,76,34,12,3,1
0.61,13,15,52,78,11,3,0
2.31,13,0,71,4,9,4,0
2.43,9,62,67,59,18,2,1
1.7,1,20,94,45,13,4,0
2.95,13,29,27,49,9,3,0
3.74,8,12,74,47,9,2,1
3.7,2,33,64,5,10,4,0
1.8,20,3,48,88,12,5,0
0.45,25,27,46,55,14,5,0
3.94,7,94,51,58,16,4,1
3.36,15,58,87,28,11,2,0
0.5,1,26,53,70,9,4,0
3.68,5,68,59,76,11,4,1
3.48,20,24,56,17,11,3,1
2.08,25,2,46,1,13,5,0
2.37,24,96,30,7,12,3,1
1.6,11,67,45,74,12,3,0
0.22,4,24,25,96,17,4,0
1.34,1,19,4,53,15,3,0
3.21,15,33,83,37,12,5,0
0.02,4,25,51,47,11,3,0
1.33,14,4,74,26,14,5,0
1.59,11,98,53,19,11,3,0
2.15,3,60,32,11,14,5,0
3.68,14,91,49,42,17,3,1
1.39,10,92,37,60,14,3,0
1.39,15,8,26,30,12,2,0
2.95,22,49,97,90,13,5,1
1.81,5,5,14,95,14,5,0
0.9,13,82,95,60,11,5,0
1.81,17,59,60,73,16,1,0
0.56,11,43,20,66,12,3,0
0.71,10,10,45,90,16,5,0
1.99,12,65,68,34,18,1,0
1.68,20,46,5,94,18,2,0
3.66,22,72,37,14,11,5,1
1.45,10,84,61,15,18,5,0
2.32,22,87,85,12,15,1,1
2.53,15,97,61,34,17,3,0
0.05,14,85,81,74,12,2,0
2.65,20,2,77,58,16,5,0
0.71,14,75,73,20,11,3,0
3.84,24,91,45,53,15,2,1
0.59,3,29,12,74,11,4,0
1.66,10,89,94,29,15,4,0
0.34,18,20,93,47,18,2,0
3.99,14,27,2,34,18,1,0
2.01,3,89,93,85,14,2,0
2.38,20,61,5,37,10,2,0
0.27,12,32,92,30,11,1,0
3.0,21,84,7,77,14,1,1
0.84,18,34,43,23,12,3,0
3.59,1,51,32,48,14,3,0
0.82,13,33,80,95,9,1,0
0.76,3,40,74,99,18,4,0
0.15,15,50,76,31,9,4,0
1.89,20,46,49,54,11,2,1
2.26,19,81,10,78,16,5,0
0.26,13,57,94,57,16,2,0
3.1,14,74,27,98,12,2,1
1.81,2,56,69,2,14,5,0
2.1,7,22,40,79,16,1,0
1.76,15,47,15,68,15,4,0
1.6,9,21,67,84,15,2,0
2.24,3,16,98,9,12,5,0
0.62,17,68,47,82,17,3,0
0.73,1,10,55,24,18,2,0
3.45,16,93,63,67,14,4,1
3.78,12,14,58,60,11,1,1
1.49,3,90,89,28,13,2,0
1.08,25,34,61,18,13,2,0
2.58,24,32,75,42,13,5,0
1.63,10,83,10,65,16,3,0
0.1,6,15,100,73,17,3,0
0.62,11,33,88,60,17,1,0
2.86,9,65,17,42,14,4,0
2.64,6,98,18,24,14,1,0
0.11,12,39,86,19,17,2,0
0.89,6,27,54,47,12,2,0
0.92,23,46,81,82,14,3,0
2.69,16,38,25,86,12,4,1
0.08,9,69,5,23,9,5,0
0.42,9,72,3,10,15,4,0
3.2,23,19,28,97,18,2,1
0.71,3,0,58,54,14,5,0
2.61,19,71,97,27,17,4,1
0.95,3,86,16,68,15,4,0
0.4,21,62,42,62,15,5,0
0.97,6,66,79,58,10,2,0
2.89,21,3,65,4,17,4,1
3.42,0,57,33,50,18,5,0
3.32,11,24,7,20,17,2,0
1.59,23,46,12,11,14,5,0
2.67,12,37,7,49,11,5,0
0.82,9,14,93,3,9,4,0
1.17,14,62,95,41,12,2,0
3.59,12,20,99,83,11,4,1
0.05,22,98,93,37,9,1,0
0.34,21,56,64,24,11,1,0
0.83,21,52,42,13,12,2,0
0.11,20,45,38,74,16,5,0
0.73,21,13,80,31,17,4,0
2.33,8,99,58,10,11,4,0
1.69,25,75,83,60,14,2,1
3.57,8,16,87,17,18,2,0
3.27,14,38,85,26,13,1,1
1.37,9,8,92,54,14,3,0
1.04,23,98,85,53,12,2,0
1.52,25,76,43,81,18,3,0
2.36,24,78,8,86,14,2,1
1.07,9,81,36,74,15,5,0
2.5,7,96,73,20,17,5,0
1.64,23,5,35,43,18,1,0
2.21,15,90,100,4,15,1,0
1.74,16,22,91,86,14,3,1
1.18,25,58,27,40,9,2,1
3.79,4,90,41,58,10,4,1
3.05,3,97,42,88,9,1,1
0.56,17,45,84,53,17,4,0
3.47,23,37,87,73,18,4,0
1.95,18,13,41,21,18,2,0
3.58,3,99,65,82,17,3,1
3.2,6,71,54,64,15,2,1
1.7,9,61,71,63,10,1,0
0.09,24,34,47,70,14,4,0
1.07,17,18,90,3,12,2,0
2.17,18,29,21,64,9,2,1
2.53,3,77,100,14,9,2,0
1.03,9,83,26,75,13,1,0
0.56,0,24,92,21,10,3,0
3.34,22,39,66,85,12,2,1
3.94,17,87,12,46,9,1,1
2.1,4,13,44,80,12,4,0
0.69,14,25,9,92,14,5,0
1.09,16,86,99,45,18,1,1
0.07,2,21,8,13,12,5,0
3.66,11,47,53,49,9,2,1
0.47,1,82,26,19,15,2,0
2.31,0,50,33,49,10,1,0
1.1,22,2,0,32,17,5,0
2.22,20,41,31,58,11,2,0
2.61,16,18,88,42,16,4,0
3.32,21,72,92,78,16,3,1
0.83,15,27,70,11,11,3,0
0.04,4,83,66,39,12,2,0
0.55,14,44,83,19,10,5,0
3.6,2,70,19,93,12,2,1
3.5,6,77,93,37,17,5,0
2.39,10,62,34,2,10,4,0
2.4,9,72,98,27,11,5,0
2.66,8,18,90,55,12,2,0
0.7,13,46,89,89,13,4,0
3.66,12,13,77,93,9,1,1
1.68,24,37,16,12,15,3,0
1.53,24,52,17,76,18,2,0
2.08,1,60,44,65,15,2,0
0.19,2,35,92,36,17,2,0
0.67,6,39,83,48,12,4,0
2.95,20,80,52,65,14,1,1
0.33,17,29,90,35,10,5,0
2.41,2,8,81,53,12,1,0
0.98,9,63,67,25,10,4,0
1.56,21,32,64,74,18,2,1
1.15,6,51,0,71,13,3,0
1.42,8,88,57,39,15,2,0
2.88,16,13,25,42,9,5,0
1.19,10,74,19,21,18,3,0
2.27,6,52,86,19,18,2,0
1.9,23,98,9,7,15,3,0
2.65,13,58,58,28,18,1,1
3.75,18,77,74,39,14,4,1
2.93,3,93,40,89,14,2,0
0.86,25,40,4,29,16,5,0
0.12,5,67,64,80,16,1,0
1.05,9,67,16,83,14,2,0
2.38,6,91,21,54,11,1,0
0.21,12,7,97,15,13,5,0
1.99,13,1,40,45,10,2,0
2.39,3,85,92,61,13,5,0
1.34,7,40,67,6,17,3,0
3.08,4,54,68,79,18,5,1
0.43,0,15,10,44,9,3,0
0.3,3,92,55,58,18,2,0
2.91,2,61,50,55,13,3,1
1.98,8,47,20,47,14,2,0
2.75,7,29,98,26,15,2,0
1.74,0,11,75,52,17,4,0
0.99,5,34,25,86,14,2,0
3.28,8,10,18,87,13,3,0
3.2,6,63,59,72,15,4,1
2.78,3,49,70,34,9,4,0
1.09,12,84,46,50,13,2,0
2.36,16,20,70,83,10,5,0
1.44,1,68,25,36,12,5,0
0.37,4,47,39,80,15,4,0
3.67,11,19,4,94,13,2,1
0.55,20,100,20,56,14,5,0
3.8,7,66,77,7,10,2,1
1.78,5,43,3,78,11,2,0
